n,p,J,E,Delta_E,State,Parity
5,2,31/2,121,,,
5,2,31/2,122,,,1
5,2,33/2,123,,,
5,2,33/2,124,,,1
5,2,37/2,125,,,
5,2,41/2,126,,,
6,2,0,127,,,
6,2,2,128,,,
6,2,2,129,,,
6,2,3,130,,,
6,2,4,131,,,
6,2,4,132,,1,
6,2,5,133,,1,
6,2,5,134,,,
6,2,6,135,,1,
6,2,6,136,,,
6,2,6,137,,,
6,2,6,138,,,1
6,2,6,139,,,1
6,2,7,140,,1,1
6,2,8,141,,,
6,2,8,142,,,
6,2,8,143,,,
6,2,8,144,,1,1
6,2,10,145,,,
6,2,10,146,,,
6,2,10,147,,,
6,2,12,148,,,
6,2,12,149,,,
6,2,14,150,,,
6,2,14,151,,,
6,2,15,152,,,
6,2,16,153,,,
6,2,16,154,,,1
6,2,16,155,,,
6,2,17,156,,,
6,2,18,157,,,
6,2,19,158,,,1
6,2,20,159,,,
7,2,7/2,160,,,
7,2,9/2,161,,,
7,2,11/2,162,,,
7,2,11/2,163,,,
7,2,13/2,164,,,
7,2,17/2,165,,,
7,2,17/2,166,,,
7,2,21/2,167,,,
7,2,23/2,168,,,
7,2,25/2,169,,,
7,2,25/2,170,,,
7,2,27/2,171,,,
7,2,29/2,172,,,
7,2,29/2,173,,,
7,2,31/2,174,,,
7,2,33/2,175,,,
7,2,35/2,176,,,
7,2,37/2,177,,,
8,2,0,178,,,
8,2,0,179,,,
8,2,0,180,,,
8,2,2,181,,,
8,2,2,182,,,
8,2,2,183,,,
8,2,2,184,,,
8,2,2,185,,,
8,2,4,186,,,
8,2,6,187,,,
8,2,6,188,,,
8,2,8,189,,,
8,2,8,190,,,
8,2,9,191,,1,
8,2,10,192,,1,
8,2,10,193,,,1
8,2,10,194,,,
8,2,10,195,,,
8,2,11,196,,,1
8,2,12,197,,,1
8,2,12,198,,,
8,2,13,199,,,
8,2,13,200,,,1
8,2,13,201,,,1
8,2,14,202,,,
8,2,14,203,,,
8,2,14,204,,,
8,2,15,205,,,
8,2,16,206,,,
9,2,5/2,207,,1,
9,2,5/2,208,,1,
9,2,3/2,209,,1,
9,2,5/2,"1362,01",,,
9,2,7/2,211,,1,
9,2,7/2,"1639,95",,,
9,2,7/2,213,,1,
9,2,7/2,214,,1,
